year,winner,winningParty,state,total,p1_votes,p1_percent,p1_EV,p2_votes,p2_percent,p2_EV,p3_votes,p3_percent,p3_EV,p4_votes,p4_percent,p4_EV,notes
1872,Grant,Republican,Arkansas,79300,41373,0.5217,0,37927,0.4783,,0,0,0,0,0,0,
1872,Grant,Republican,California,95785,54007,0.5638,6,40717,0.4251,0,0,0,0,0,0,0,
1872,Grant,Republican,Connecticut,95992,50307,0.5241,6,45685,0.4759,0,0,0,0,0,0,0,
1872,Grant,Republican,Delaware,21822,11129,0.51,3,10205,0.4676,0,0,0,0,0,0,0,
1872,Grant,Republican,Florida,33190,17763,0.5352,4,15427,0.4648,0,0,0,0,0,0,0,
1872,Grant,Democratic,Georgia,138906,62550,0.4503,0,76356,0.5497,,0,0,0,0,0,0,
1872,Grant,Republican,Illinois,429971,241936,0.5627,21,184884,0.43,0,0,0,0,0,0,0,
1872,Grant,Republican,Indiana,349779,186147,0.5322,15,163632,0.4678,0,0,0,0,0,0,0,
1872,Grant,Republican,Iowa,216365,131566,0.6081,11,71189,0.329,0,0,0,0,0,0,0,
1872,Grant,Republican,Kansas,100512,66805,0.6646,5,32970,0.328,0,0,0,0,0,0,0,
1872,Grant,Democratic,Kentucky,191552,88970,0.4645,0,100208,0.5231,,0,0,0,0,0,0,
1872,Grant,Republican,Louisiana,128692,71663,0.5569,0,57029,0.4431,,0,0,0,0,0,0,
1872,Grant,Republican,Maine,90523,61426,0.6786,7,29097,0.3214,0,0,0,0,0,0,0,
1872,Grant,Democratic,Maryland,134447,66760,0.4966,0,67687,0.5034,,0,0,0,0,0,0,
1872,Grant,Republican,Massachusetts,192650,133455,0.6927,13,59195,0.3073,0,0,0,0,0,0,0,
1872,Grant,Republican,Michigan,221569,138768,0.6263,11,78651,0.355,0,0,0,0,0,0,0,
1872,Grant,Republican,Minnesota,91339,56040,0.6135,5,35131,0.3846,0,0,0,0,0,0,0,
1872,Grant,Republican,Mississippi,129457,82175,0.6348,8,47282,0.3652,0,0,0,0,0,0,0,
1872,Grant,Democratic,Missouri,273059,119196,0.4365,0,151434,0.5546,,0,0,0,0,0,0,
1872,Grant,Republican,Nebraska,25932,18329,0.7068,3,7603,0.2932,0,0,0,0,0,0,0,
1872,Grant,Republican,Nevada,14649,8413,0.5743,3,6236,0.4257,0,0,0,0,0,0,0,
1872,Grant,Republican,New_Hampshire,68906,37168,0.5394,5,31425,0.4561,0,0,0,0,0,0,0,
1872,Grant,Republican,New_Jersey,168467,91666,0.5441,9,76801,0.4559,0,0,0,0,0,0,0,
1872,Grant,Republican,New_York,829692,440758,0.5312,35,387279,0.4668,0,0,0,0,0,0,0,
1872,Grant,Republican,North_Carolina,165163,94772,0.5738,10,70130,0.4246,0,0,0,0,0,0,0,
1872,Grant,Republican,Ohio,529435,281852,0.5324,22,244320,0.4615,0,0,0,0,0,0,0,
1872,Grant,Republican,Oregon,20107,11818,0.5878,3,7742,0.385,0,0,0,0,0,0,0,
1872,Grant,Republican,Pennsylvania,561629,349589,0.6225,29,212040,0.3775,0,0,0,0,0,0,0,
1872,Grant,Republican,Rhode_Island,18994,13665,0.7194,4,5329,0.2806,0,0,0,0,0,0,0,
1872,Grant,Republican,South_Carolina,95452,72290,0.7573,7,22699,0.2378,0,0,0,0,0,0,0,
1872,Grant,Democratic,Tennessee,179046,85655,0.4784,0,93391,0.5216,,0,0,0,0,0,0,
1872,Grant,Democratic,Texas,115700,47910,0.4141,0,67675,0.5849,,0,0,0,0,0,0,
1872,Grant,Republican,Vermont,52961,41480,0.7832,5,10926,0.2063,0,0,0,0,0,0,0,
1872,Grant,Republican,Virginia,185195,93463,0.5047,11,91647,0.4949,0,0,0,0,0,0,0,
1872,Grant,Republican,West_Virginia,62467,32320,0.5174,5,29532,0.4728,0,0,0,0,0,0,0,
1872,Grant,Republican,Wisconsin,192255,105012,0.5462,10,86390,0.4494,0,0,0,0,0,0,0,
1876,Hayes,Democratic,Alabama,171699,68708,0.4002,0,102989,0.5998,10,0,0,0,0,0,0,
1876,Hayes,Democratic,Arkansas,96946,38649,0.3987,0,58086,0.5992,6,0,0,0,0,0,0,
1876,Hayes,Republican,California,155784,79258,0.5088,6,76460,0.4908,0,0,0,0,0,0,0,
1876,Hayes,Republican,Colorado,0,3,,0,0,,0,0,,0,0,,0,Chosen by state legislature
1876,Hayes,Democratic,Connecticut,122134,59033,0.4833,0,61927,0.507,6,0,0,0,0,0,0,
1876,Hayes,Democratic,Delaware,24133,10752,0.4455,0,13381,0.5545,3,0,0,0,0,0,0,
1876,Hayes,Republican,Florida,46776,23849,0.5099,4,22927,0.4901,0,0,0,0,0,0,0,
1876,Hayes,Democratic,Georgia,180690,50533,0.2797,0,130157,0.7203,11,0,0,0,0,0,0,
